Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546822,49.404,-303.82126,Falling
1546822,61.266,-500.79883,Rising
1546822,62.466,-499.16046,Falling
1546822,62.566,-499.13992,Rising
1546822,62.666,-499.21643,Falling
1546822,62.966,-499.39981,Rising
1546822,63.066,-499.42343,Falling
1546822,63.666,-499.49274,Rising
1546822,63.766,-499.56778,Falling
1546822,63.866,-499.55344,Rising
1546822,63.966,-499.58237,Falling
1546822,64.066,-499.54694,Rising
1546822,64.166,-499.58835,Falling
1546822,64.366,-499.591,Rising
1546822,64.466,-499.62714,Falling
1546822,65.366,-499.87738,Rising
1546822,65.466,-499.91769,Falling
1546822,65.666,-499.92249,Rising
1546822,65.766,-499.94452,Falling
1546822,65.966,-499.97455,Rising
1546822,66.065,-499.98392,Falling
1546822,66.195,-498.27945,Rising
,,,
1546823,22.024,-101.15947,Rising
1546823,25.633,-100.87674,Falling
1546823,48.133,-290.33603,Rising
1546823,48.381,-283.25833,Falling
1546823,61.809,-500.18835,Rising
1546823,62.709,-499.11694,Falling
1546823,63.709,-499.64893,Rising
1546823,63.809,-499.69272,Falling
1546823,63.909,-499.61539,Rising
1546823,64.009,-499.63275,Falling
1546823,64.109,-499.61267,Rising
1546823,64.209,-499.67245,Falling
1546823,64.309,-499.57114,Rising
1546823,64.409,-499.65063,Falling
1546823,64.509,-499.64352,Rising
1546823,64.609,-499.66513,Falling
1546823,64.809,-499.69391,Rising
1546823,64.909,-499.73074,Falling
1546823,65.009,-499.67929,Rising
1546823,65.109,-499.72272,Falling
1546823,65.209,-499.70605,Rising
1546823,65.309,-499.73843,Falling
1546823,65.609,-499.81244,Rising
1546823,65.709,-499.87891,Falling
1546823,65.809,-499.87711,Rising
1546823,65.909,-499.97394,Falling
1546823,66.009,-499.96078,Rising
1546823,66.109,-500.02075,Falling
1546823,66.309,-500.02844,Rising
1546823,66.409,-500.03107,Falling
1546823,66.509,-500.01712,Rising
1546823,66.608,-500.08197,Falling
1546823,66.609,-500.08179,Rising
1546823,66.637,-500.08475,Falling
1546823,66.737,-498.24695,Rising
1546823,110.237,-12.62776,Falling
1546823,110.337,-12.31641,Rising
,,,
1546824,21.084,-100.96435,Rising
1546824,21.184,-100.98161,Falling
1546824,21.284,-100.9327,Rising
1546824,21.384,-100.93531,Falling
1546824,21.484,-100.90515,Rising
1546824,22.084,-100.73164,Falling
1546824,22.184,-100.63072,Rising
1546824,22.284,-100.68484,Falling
1546824,22.384,-100.59165,Rising
1546824,22.484,-100.59573,Falling
1546824,22.584,-100.54064,Rising
1546824,22.784,-100.51866,Falling
1546824,22.884,-100.45226,Rising
1546824,22.984,-100.46548,Falling
1546824,23.084,-100.41216,Rising
1546824,23.184,-100.42484,Falling
1546824,23.284,-100.3667,Rising
1546824,24.796,-100.07628,Falling
